student_id,chosen_course_id
STU0001,CRS010
STU0002,CRS010
STU0003,CRS010
STU0004,CRS010
STU0005,CRS010
STU0006,CRS010
STU0007,CRS010
STU0008,CRS010
STU0009,CRS010
STU0010,CRS010
STU0011,CRS010
STU0012,CRS010
STU0013,CRS010
STU0014,CRS010
STU0015,CRS010
STU0016,CRS010
STU0017,CRS010
STU0018,CRS010
STU0019,CRS010
STU0020,CRS010
STU0021,CRS010
STU0022,CRS010
STU0023,CRS010
STU0024,CRS010
STU0025,CRS010
STU0026,CRS010
STU0027,CRS010
STU0028,CRS010
STU0029,CRS010
STU0030,CRS010
STU0031,CRS010
STU0032,CRS010
STU0033,CRS010
STU0034,CRS010
STU0035,CRS010
STU0036,CRS010
STU0037,CRS010
STU0038,CRS010
STU0039,CRS010
STU0040,CRS010
STU0041,CRS010
STU0042,CRS010
STU0043,CRS010
STU0044,CRS010
STU0045,CRS010
STU0046,CRS010
STU0047,CRS010
STU0048,CRS010
STU0049,CRS010
STU0050,CRS010
STU0051,CRS010
STU0052,CRS010
STU0053,CRS010
STU0054,CRS010
STU0055,CRS010
STU0056,CRS010
STU0057,CRS010
STU0058,CRS010
STU0059,CRS010
STU0060,CRS010
STU0061,CRS010
STU0062,CRS010
STU0063,CRS010
STU0064,CRS010
STU0065,CRS010
STU0066,CRS010
STU0067,CRS010
STU0068,CRS010
STU0069,CRS010
STU0070,CRS010
STU0071,CRS010
STU0072,CRS010
STU0073,CRS010
STU0074,CRS010
STU0075,CRS010
STU0076,CRS010
STU0077,CRS010
STU0078,CRS010
STU0079,CRS010
STU0080,CRS010
